kernel,dtype,align,stride,N,build,median_ms,stdev_ms,gflops,cpe
saxpy,f32,misaligned,1,4096,native,0.0001408661616044825,7.043308080224125e-06,58.154491516572435,0.13412549566833049
saxpy,f32,misaligned,1,8192,scalar,0.001541112324207941,7.705561621039705e-05,10.631282186663846,0.7336838457532923
saxpy,f32,misaligned,1,8192,auto,0.0004436097629041762,2.2180488145208812e-05,36.93336209000228,0.21119117130447845
saxpy,f32,misaligned,1,8192,native,0.0004904321508227524,2.452160754113762e-05,33.407271469690734,0.233482103052824
saxpy,f32,misaligned,1,16384,scalar,0.0029506783182576073,0.00014753391591288038,11.105243088426425,0.7023709375735271
saxpy,f32,misaligned,1,16384,auto,0.0008365018618868905,4.182509309434453e-05,39.172656383675566,0.1991184851903609
saxpy,f32,misaligned,1,16384,native,0.0009043144525579432,4.5215722627897164e-05,36.23518335609086,0.2152603982529284
saxpy,f32,misaligned,1,32768,scalar,0.005899005062578468,0.0002949502531289234,11.109670072287422,0.7020910566423348
saxpy,f32,misaligned,1,32768,auto,0.0017251218199217959,8.62560909960898e-05,37.98920125128955,0.20532150566696178
saxpy,f32,misaligned,1,32768,native,0.0016942696098157367,8.471348049078685e-05,38.680974751785506,0.20164952021122354
saxpy,f32,misaligned,1,65536,scalar,0.012663535100923017,0.0006331767550461509,10.350348378664538,0.7535978224731409
saxpy,f32,misaligned,1,65536,auto,0.012612100776507972,0.0006306050388253986,10.39255888631514,0.7505370029965376
saxpy,f32,misaligned,1,65536,native,0.012091766892373327,0.0006045883446186664,10.83977231505111,0.7195723095742184
saxpy,f32,misaligned,1,262144,scalar,0.049429866996108775,0.002471493349805439,10.606704647642953,0.735383916034028
saxpy,f32,misaligned,1,262144,auto,0.050508567521866554,0.002525428376093328,10.38017955613216,0.7514320882235701
saxpy,f32,misaligned,1,262144,native,0.049311840632651066,0.0024655920316325533,10.632091466747053,0.7336280001348082
saxpy,f32,misaligned,1,1048576,scalar,0.7743651293028995,0.03871825646514498,2.708221122880239,2.8801193278134423
saxpy,f32,misaligned,1,1048576,auto,0.7688915587446894,0.03844457793723447,2.727500355737889,2.8597613135378728
saxpy,f32,misaligned,1,1048576,native,0.7191551356799161,0.035957756783995806,2.916132967634687,2.6747751513973927
saxpy,f32,misaligned,1,4194304,scalar,3.1452905558481,0.15726452779240502,2.6670375442430583,2.924593250228784
saxpy,f32,misaligned,1,4194304,auto,3.1754514825515447,0.15877257412757725,2.641705611341783,2.9526378588559683
saxpy,f32,misaligned,1,4194304,native,2.9406141435738253,0.14703070717869127,2.852672125763854,2.734278478607635
saxpy,f32,misaligned,1,16777216,scalar,12.78856330176317,0.6394281650881586,2.6237843304395123,2.972805313877843
saxpy,f32,misaligned,1,16777216,auto,11.627637362347672,0.5813818681173836,2.885748063373143,2.702938658783193
saxpy,f32,misaligned,1,16777216,native,12.524859416277575,0.6262429708138788,2.679026636929109,2.9115052058388318
saxpy,f64,aligned,1,4096,scalar,0.001459009011138908,7.29504505569454e-05,5.614769982541296,1.3891931502543313
saxpy,f64,aligned,1,4096,auto,0.00038760718129727005,1.9380359064863502e-05,21.13479934139109,0.36905957203597484
saxpy,f64,aligned,1,4096,native,0.00041604504408650683,2.0802252204325344e-05,19.690175658712246,0.39613663865658605
saxpy,f64,aligned,1,8192,scalar,0.003108442555936414,0.0001554221277968207,5.270806748128676,1.4798493613466814
saxpy,f64,aligned,1,8192,auto,0.0007458308017009928,3.729154008504964e-05,21.967448867267922,0.35507081623948633
saxpy,f64,aligned,1,8192,native,0.0008011103061023586,4.0055515305117934e-05,20.4516155580535,0.38138796311025375
saxpy,f64,aligned,1,16384,scalar,0.005588720915980702,0.0002794360457990351,5.863237848628538,1.3303229719436485
saxpy,f64,aligned,1,16384,auto,0.0014807833256883088,7.403916628441545e-05,22.12882832454136,0.3524813824575442
saxpy,f64,aligned,1,16384,native,0.001499663599157061,7.498317995785306e-05,21.85023362467317,0.35697558817825553
saxpy,f64,aligned,1,32768,scalar,0.011757811342313539,0.000587890567115677,5.57382646242602,1.3993977122504517
saxpy,f64,aligned,1,32768,auto,0.011090673224359032,0.0005545336612179517,5.909109273552468,1.3199958976745676
saxpy,f64,aligned,1,32768,native,0.011784408677216737,0.0005892204338608369,5.561246371801696,1.4025632886091695
saxpy,f64,aligned,1,65536,scalar,0.023091678456623885,0.0011545839228311943,5.676157332876849,1.3741690976079277
saxpy,f64,aligned,1,65536,auto,0.021567103481263613,0.0010783551740631808,6.077403955235277,1.2834427425678725
saxpy,f64,aligned,1,65536,native,0.022440738015501713,0.0011220369007750857,5.840806122751288,1.3354321023629254
saxpy,f64,aligned,1,262144,scalar,0.10382171263047016,0.005191085631523509,5.049887800118307,1.5445887728074403
saxpy,f64,aligned,1,262144,auto,0.098772455439317,0.00493862277196585,5.308038538356554,1.4694693611653757
saxpy,f64,aligned,1,262144,native,0.09285519834290495,0.0046427599171452475,5.6462967002004225,1.3814364377492117
saxpy,f64,aligned,1,1048576,scalar,1.327316013180275,0.06636580065901375,1.5799944995579334,4.936726046946594
saxpy,f64,aligned,1,1048576,auto,1.3870556399601506,0.06935278199800753,1.5119451156698012,5.158917423100077
saxpy,f64,aligned,1,1048576,native,1.3902451622448053,0.06951225811224027,1.5084763874407332,5.170780308489552
saxpy,f64,aligned,1,4194304,scalar,5.903138811577147,0.2951569405788574,1.4210419689857856,5.488930074012488
saxpy,f64,aligned,1,4194304,auto,5.559839871959333,0.27799199359796667,1.5087858990880947,5.169719576988554
saxpy,f64,aligned,1,4194304,native,6.152307742506018,0.3076153871253009,1.3634896612930274,5.7206154336389226
saxpy,f64,aligned,1,16777216,scalar,22.06788085757103,1.1033940428785516,1.520509930997211,5.1298579778985385
saxpy,f64,aligned,1,16777216,auto,21.361984740382884,1.0680992370191442,1.5707544222971197,4.965766697376564
saxpy,f64,aligned,1,16777216,native,23.12591968781203,1.1562959843906016,1.4509447603800196,5.375807689575368
saxpy,f64,misaligned,1,4096,scalar,0.0015418075645298689,7.709037822649346e-05,5.313244135300324,1.468029663492795
saxpy,f64,misaligned,1,4096,auto,0.0004755366173369095,2.3776830866845476e-05,17.22685425546548,0.4527814471713738
saxpy,f64,misaligned,1,4096,native,0.0004183397112559613,2.0916985562798067e-05,19.582171569143053,0.39832150241656467
saxpy,f64,misaligned,1,8192,scalar,0.002861712039177229,0.00014308560195886146,5.725244111112789,1.3623873233387684
saxpy,f64,misaligned,1,8192,auto,0.0008597085396914908,4.298542698457454e-05,19.05762155844055,0.40928507138632986
saxpy,f64,misaligned,1,8192,native,0.0008207399692618479,4.1036998463092396e-05,19.962473637948133,0.39073313966323325
saxpy,f64,misaligned,1,16384,scalar,0.005709073760359592,0.00028545368801797963,5.739635074873524,1.3589714151246588
saxpy,f64,misaligned,1,16384,auto,0.001896637829772151,9.483189148860756e-05,17.276888336629096,0.45147018653023613
saxpy,f64,misaligned,1,16384,native,0.001769719014964957,8.848595074824785e-05,18.515933728976098,0.42125879872823074
saxpy,f64,misaligned,1,32768,scalar,0.012087367948973618,0.0006043683974486809,5.421858611126742,1.4386210632628513
saxpy,f64,misaligned,1,32768,auto,0.012699141708547758,0.0006349570854273879,5.1606637286272585,1.5114334919231034
saxpy,f64,misaligned,1,32768,native,0.012636132796185466,0.0006318066398092733,5.1863969029973855,1.503934262241312
saxpy,f64,misaligned,1,65536,scalar,0.025581648502094708,0.0012790824251047354,5.123672932542537,1.5223454156214806
saxpy,f64,misaligned,1,65536,auto,0.023581506560012476,0.001179075328000624,5.558253865860327,1.4033184140632424
saxpy,f64,misaligned,1,65536,native,0.02378330193922883,0.0011891650969614415,5.5110934694818905,1.4153271112517156
saxpy,f64,misaligned,1,262144,scalar,0.1076579669227096,0.00538289834613548,4.86994149143091,1.6016619529669474
saxpy,f64,misaligned,1,262144,auto,0.09279597474805315,0.004639798737402658,5.649900239999359,1.3805553494163791
saxpy,f64,misaligned,1,262144,native,0.10305531344669107,0.005152765672334554,5.087442679713998,1.5331868074115569
saxpy,f64,misaligned,1,1048576,scalar,1.436904942484966,0.07184524712424831,1.459492509207471,5.344323421183937
saxpy,f64,misaligned,1,1048576,auto,1.6396200478346599,0.081981002391733,1.279047546881104,6.098287760310338
saxpy,f64,misaligned,1,1048576,native,1.4878828565082751,0.07439414282541376,1.4094873066294626,5.53392709768512
saxpy,f64,misaligned,1,4194304,scalar,6.357834423720639,0.31789172118603193,1.3194127812927443,5.911720812919256
saxpy,f64,misaligned,1,4194304,auto,6.252730966076782,0.31263654830383913,1.3415910656497276,5.813992206501829
saxpy,f64,misaligned,1,4194304,native,6.001713374895046,0.30008566874475234,1.3977022020227172,5.580587902567548
saxpy,f64,misaligned,1,16777216,scalar,25.612925327922927,1.2806462663961464,1.3100585571699352,5.953932331734861
saxpy,f64,misaligned,1,16777216,auto,24.545553839856634,1.2272776919928319,1.367026884743375,5.705813168015532
saxpy,f64,misaligned,1,16777216,native,24.553166017807367,1.2276583008903685,1.3666030676314573,5.707582680550142
